State,Year,Type_code,Type,Gender,Age_group,Total
A & N Islands,2001,Education_Status,Diploma,Female,0-100+,0
A & N Islands,2001,Education_Status,No Education,Female,0-100+,4
A & N Islands,2001,Education_Status,Post Graduate and Above,Female,0-100+,0
A & N Islands,2001,Education_Status,Middle,Female,0-100+,33
A & N Islands,2001,Education_Status,Graduate,Female,0-100+,0
A & N Islands,2001,Education_Status,Hr. Secondary/Intermediate/Pre-Universit,Female,0-100+,0
A & N Islands,2001,Education_Status,Primary,Female,0-100+,7
A & N Islands,2001,Education_Status,Matriculate/Secondary,Female,0-100+,6
A & N Islands,2001,Education_Status,Matriculate/Secondary,Male,0-100+,10
A & N Islands,2001,Education_Status,Post Graduate and Above,Male,0-100+,0
A & N Islands,2001,Education_Status,Graduate,Male,0-100+,1
A & N Islands,2001,Education_Status,Diploma,Male,0-100+,0
A & N Islands,2001,Education_Status,No Education,Male,0-100+,7
A & N Islands,2001,Education_Status,Middle,Male,0-100+,39
A & N Islands,2001,Education_Status,Hr. Secondary/Intermediate/Pre-Universit,Male,0-100+,2
A & N Islands,2001,Education_Status,Primary,Male,0-100+,20
Andhra Pradesh,2001,Education_Status,Post Graduate and Above,Female,0-100+,6
Andhra Pradesh,2001,Education_Status,Primary,Female,0-100+,1076
Andhra Pradesh,2001,Education_Status,Diploma,Female,0-100+,23
Andhra Pradesh,2001,Education_Status,Graduate,Female,0-100+,42
Andhra Pradesh,2001,Education_Status,Hr. Secondary/Intermediate/Pre-Universit,Female,0-100+,168
Andhra Pradesh,2001,Education_Status,No Education,Female,0-100+,1657
Andhra Pradesh,2001,Education_Status,Middle,Female,0-100+,722
Andhra Pradesh,2001,Education_Status,Matriculate/Secondary,Female,0-100+,449
Andhra Pradesh,2001,Education_Status,Diploma,Male,0-100+,75
Andhra Pradesh,2001,Education_Status,Matriculate/Secondary,Male,0-100+,818
Andhra Pradesh,2001,Education_Status,Post Graduate and Above,Male,0-100+,21
Andhra Pradesh,2001,Education_Status,Middle,Male,0-100+,1281
Andhra Pradesh,2001,Education_Status,Graduate,Male,0-100+,104
Andhra Pradesh,2001,Education_Status,Hr. Secondary/Intermediate/Pre-Universit,Male,0-100+,427
Andhra Pradesh,2001,Education_Status,No Education,Male,0-100+,2117
Andhra Pradesh,2001,Education_Status,Primary,Male,0-100+,1536
Arunachal Pradesh,2001,Education_Status,Graduate,Female,0-100+,0
Arunachal Pradesh,2001,Education_Status,No Education,Female,0-100+,10
Arunachal Pradesh,2001,Education_Status,Post Graduate and Above,Female,0-100+,0
Arunachal Pradesh,2001,Education_Status,Diploma,Female,0-100+,0
Arunachal Pradesh,2001,Education_Status,Primary,Female,0-100+,12
Arunachal Pradesh,2001,Education_Status,Middle,Female,0-100+,11
Arunachal Pradesh,2001,Education_Status,Hr. Secondary/Intermediate/Pre-Universit,Female,0-100+,0
Arunachal Pradesh,2001,Education_Status,Matriculate/Secondary,Female,0-100+,2
Arunachal Pradesh,2001,Education_Status,Middle,Male,0-100+,19
Arunachal Pradesh,2001,Education_Status,Primary,Male,0-100+,19
Arunachal Pradesh,2001,Education_Status,Diploma,Male,0-100+,0
Arunachal Pradesh,2001,Education_Status,No Education,Male,0-100+,14
Arunachal Pradesh,2001,Education_Status,Matriculate/Secondary,Male,0-100+,21
Arunachal Pradesh,2001,Education_Status,Post Graduate and Above,Male,0-100+,1
Arunachal Pradesh,2001,Education_Status,Graduate,Male,0-100+,1
Arunachal Pradesh,2001,Education_Status,Hr. Secondary/Intermediate/Pre-Universit,Male,0-100+,1
Assam,2001,Education_Status,Primary,Female,0-100+,269
Assam,2001,Education_Status,Graduate,Female,0-100+,4
Assam,2001,Education_Status,Matriculate/Secondary,Female,0-100+,66
Assam,2001,Education_Status,Middle,Female,0-100+,244
Assam,2001,Education_Status,No Education,Female,0-100+,182
Assam,2001,Education_Status,Diploma,Female,0-100+,0
Assam,2001,Education_Status,Hr. Secondary/Intermediate/Pre-Universit,Female,0-100+,46
Assam,2001,Education_Status,Post Graduate and Above,Female,0-100+,0
Assam,2001,Education_Status,Post Graduate and Above,Male,0-100+,0
Assam,2001,Education_Status,No Education,Male,0-100+,350
Assam,2001,Education_Status,Hr. Secondary/Intermediate/Pre-Universit,Male,0-100+,110
Assam,2001,Education_Status,Matriculate/Secondary,Male,0-100+,311
Assam,2001,Education_Status,Middle,Male,0-100+,497
Assam,2001,Education_Status,Graduate,Male,0-100+,23
Assam,2001,Education_Status,Primary,Male,0-100+,542
Assam,2001,Education_Status,Diploma,Male,0-100+,3
Bihar,2001,Education_Status,No Education,Female,0-100+,140
Bihar,2001,Education_Status,Graduate,Female,0-100+,3
Bihar,2001,Education_Status,Post Graduate and Above,Female,0-100+,0
Bihar,2001,Education_Status,Diploma,Female,0-100+,3
Bihar,2001,Education_Status,Middle,Female,0-100+,53
Bihar,2001,Education_Status,Hr. Secondary/Intermediate/Pre-Universit,Female,0-100+,12
Bihar,2001,Education_Status,Matriculate/Secondary,Female,0-100+,35
Bihar,2001,Education_Status,Primary,Female,0-100+,50
Bihar,2001,Education_Status,Matriculate/Secondary,Male,0-100+,73
Bihar,2001,Education_Status,Diploma,Male,0-100+,2
Bihar,2001,Education_Status,Post Graduate and Above,Male,0-100+,2
Bihar,2001,Education_Status,Hr. Secondary/Intermediate/Pre-Universit,Male,0-100+,24
Bihar,2001,Education_Status,Primary,Male,0-100+,46
Bihar,2001,Education_Status,Middle,Male,0-100+,64
Bihar,2001,Education_Status,Graduate,Male,0-100+,11
Bihar,2001,Education_Status,No Education,Male,0-100+,85
Chandigarh,2001,Education_Status,Hr. Secondary/Intermediate/Pre-Universit,Female,0-100+,1
Chandigarh,2001,Education_Status,Matriculate/Secondary,Female,0-100+,5
Chandigarh,2001,Education_Status,Graduate,Female,0-100+,0
Chandigarh,2001,Education_Status,Diploma,Female,0-100+,0
Chandigarh,2001,Education_Status,Post Graduate and Above,Female,0-100+,0
Chandigarh,2001,Education_Status,Primary,Female,0-100+,6
Chandigarh,2001,Education_Status,Middle,Female,0-100+,8
