,State,Year,Type_code,Type,Gender,Age_group,Total,Cataegory
0,West Bengal,2001,Professional_Profile,Professional Activity,Female,0-14,5,Employed
1,West Bengal,2001,Professional_Profile,Service (Private),Female,0-14,41,Employed
2,West Bengal,2001,Professional_Profile,Others (Please Specify),Female,0-14,24,Unemployed
3,West Bengal,2001,Professional_Profile,Unemployed,Female,0-14,0,Unemployed
4,West Bengal,2001,Professional_Profile,House Wife,Female,0-14,0,Unemployed
5,West Bengal,2001,Professional_Profile,Others (Please Specify),Female,0-14,127,Unemployed
6,West Bengal,2001,Professional_Profile,Student,Female,0-14,73,Unemployed
7,West Bengal,2001,Professional_Profile,Self-employed (Business activity),Female,0-14,0,Employed
8,West Bengal,2001,Professional_Profile,Service (Government),Female,0-14,0,Employed
9,West Bengal,2001,Professional_Profile,Public Sector Undertaking,Female,0-14,0,Employed
10,West Bengal,2001,Professional_Profile,Farming/Agriculture Activity,Female,0-14,13,Employed
11,West Bengal,2001,Professional_Profile,Retired Person,Female,0-14,0,Retired
12,West Bengal,2001,Professional_Profile,House Wife,Male,0-14,0,Unemployed
13,West Bengal,2001,Professional_Profile,Service (Private),Male,0-14,16,Employed
14,West Bengal,2001,Professional_Profile,Public Sector Undertaking,Male,0-14,0,Employed
15,West Bengal,2001,Professional_Profile,Others (Please Specify),Male,0-14,104,Unemployed
16,West Bengal,2001,Professional_Profile,Farming/Agriculture Activity,Male,0-14,8,Employed
17,West Bengal,2001,Professional_Profile,Others (Please Specify),Male,0-14,21,Unemployed
18,West Bengal,2001,Professional_Profile,Retired Person,Male,0-14,0,Retired
19,West Bengal,2001,Professional_Profile,Professional Activity,Male,0-14,0,Employed
20,West Bengal,2001,Professional_Profile,Service (Government),Male,0-14,0,Employed
21,West Bengal,2001,Professional_Profile,Unemployed,Male,0-14,2,Unemployed
22,West Bengal,2001,Professional_Profile,Student,Male,0-14,132,Unemployed
23,West Bengal,2001,Professional_Profile,Self-employed (Business activity),Male,0-14,0,Employed
24,West Bengal,2001,Professional_Profile,Unemployed,Female,15-29,99,Unemployed
25,West Bengal,2001,Professional_Profile,Others (Please Specify),Female,15-29,523,Unemployed
26,West Bengal,2001,Professional_Profile,Professional Activity,Female,15-29,22,Employed
27,West Bengal,2001,Professional_Profile,Service (Private),Female,15-29,118,Employed
28,West Bengal,2001,Professional_Profile,House Wife,Female,15-29,653,Unemployed
29,West Bengal,2001,Professional_Profile,Public Sector Undertaking,Female,15-29,93,Employed
30,West Bengal,2001,Professional_Profile,Self-employed (Business activity),Female,15-29,34,Employed
31,West Bengal,2001,Professional_Profile,Farming/Agriculture Activity,Female,15-29,72,Employed
32,West Bengal,2001,Professional_Profile,Student,Female,15-29,331,Unemployed
33,West Bengal,2001,Professional_Profile,Retired Person,Female,15-29,0,Retired
34,West Bengal,2001,Professional_Profile,Service (Government),Female,15-29,38,Employed
35,West Bengal,2001,Professional_Profile,Others (Please Specify),Female,15-29,271,Unemployed
36,West Bengal,2001,Professional_Profile,Others (Please Specify),Male,15-29,347,Unemployed
37,West Bengal,2001,Professional_Profile,Professional Activity,Male,15-29,23,Employed
38,West Bengal,2001,Professional_Profile,Unemployed,Male,15-29,217,Unemployed
39,West Bengal,2001,Professional_Profile,Retired Person,Male,15-29,0,Retired
40,West Bengal,2001,Professional_Profile,Service (Private),Male,15-29,229,Employed
41,West Bengal,2001,Professional_Profile,Self-employed (Business activity),Male,15-29,88,Employed
42,West Bengal,2001,Professional_Profile,Student,Male,15-29,263,Unemployed
43,West Bengal,2001,Professional_Profile,House Wife,Male,15-29,0,Unemployed
44,West Bengal,2001,Professional_Profile,Public Sector Undertaking,Male,15-29,170,Employed
45,West Bengal,2001,Professional_Profile,Farming/Agriculture Activity,Male,15-29,284,Employed
46,West Bengal,2001,Professional_Profile,Others (Please Specify),Male,15-29,364,Unemployed
47,West Bengal,2001,Professional_Profile,Service (Government),Male,15-29,42,Employed
48,West Bengal,2001,Professional_Profile,Others (Please Specify),Female,30-44,265,Unemployed
49,West Bengal,2001,Professional_Profile,Retired Person,Female,30-44,0,Retired
50,West Bengal,2001,Professional_Profile,Service (Government),Female,30-44,65,Employed
51,West Bengal,2001,Professional_Profile,Public Sector Undertaking,Female,30-44,104,Employed
52,West Bengal,2001,Professional_Profile,Others (Please Specify),Female,30-44,544,Unemployed
53,West Bengal,2001,Professional_Profile,House Wife,Female,30-44,588,Unemployed
54,West Bengal,2001,Professional_Profile,Professional Activity,Female,30-44,28,Employed
55,West Bengal,2001,Professional_Profile,Self-employed (Business activity),Female,30-44,44,Employed
56,West Bengal,2001,Professional_Profile,Service (Private),Female,30-44,121,Employed
57,West Bengal,2001,Professional_Profile,Farming/Agriculture Activity,Female,30-44,133,Employed
58,West Bengal,2001,Professional_Profile,Student,Female,30-44,13,Unemployed
59,West Bengal,2001,Professional_Profile,Unemployed,Female,30-44,110,Unemployed
60,West Bengal,2001,Professional_Profile,Service (Private),Male,30-44,366,Employed
61,West Bengal,2001,Professional_Profile,Others (Please Specify),Male,30-44,328,Unemployed
62,West Bengal,2001,Professional_Profile,Others (Please Specify),Male,30-44,786,Unemployed
63,West Bengal,2001,Professional_Profile,House Wife,Male,30-44,0,Unemployed
64,West Bengal,2001,Professional_Profile,Farming/Agriculture Activity,Male,30-44,279,Employed
65,West Bengal,2001,Professional_Profile,Professional Activity,Male,30-44,67,Employed
66,West Bengal,2001,Professional_Profile,Public Sector Undertaking,Male,30-44,111,Employed
67,West Bengal,2001,Professional_Profile,Unemployed,Male,30-44,229,Unemployed
68,West Bengal,2001,Professional_Profile,Student,Male,30-44,2,Unemployed
69,West Bengal,2001,Professional_Profile,Self-employed (Business activity),Male,30-44,193,Employed
70,West Bengal,2001,Professional_Profile,Service (Government),Male,30-44,65,Employed
71,West Bengal,2001,Professional_Profile,Retired Person,Male,30-44,0,Retired
72,West Bengal,2001,Professional_Profile,Service (Private),Female,45-59,97,Employed
73,West Bengal,2001,Professional_Profile,Others (Please Specify),Female,45-59,215,Unemployed
74,West Bengal,2001,Professional_Profile,House Wife,Female,45-59,242,Unemployed
75,West Bengal,2001,Professional_Profile,Retired Person,Female,45-59,17,Retired
76,West Bengal,2001,Professional_Profile,Farming/Agriculture Activity,Female,45-59,93,Employed
77,West Bengal,2001,Professional_Profile,Service (Government),Female,45-59,13,Employed
78,West Bengal,2001,Professional_Profile,Self-employed (Business activity),Female,45-59,51,Employed
79,West Bengal,2001,Professional_Profile,Unemployed,Female,45-59,14,Unemployed
80,West Bengal,2001,Professional_Profile,Others (Please Specify),Female,45-59,348,Unemployed
81,West Bengal,2001,Professional_Profile,Professional Activity,Female,45-59,16,Employed
82,West Bengal,2001,Professional_Profile,Public Sector Undertaking,Female,45-59,64,Employed
83,West Bengal,2001,Professional_Profile,Student,Female,45-59,0,Unemployed
84,West Bengal,2001,Professional_Profile,Retired Person,Male,45-59,8,Retired
85,West Bengal,2001,Professional_Profile,Service (Government),Male,45-59,68,Employed
86,West Bengal,2001,Professional_Profile,Student,Male,45-59,0,Unemployed
87,West Bengal,2001,Professional_Profile,Unemployed,Male,45-59,186,Unemployed
88,West Bengal,2001,Professional_Profile,House Wife,Male,45-59,0,Unemployed
89,West Bengal,2001,Professional_Profile,Self-employed (Business activity),Male,45-59,195,Employed
90,West Bengal,2001,Professional_Profile,Others (Please Specify),Male,45-59,291,Unemployed
91,West Bengal,2001,Professional_Profile,Service (Private),Male,45-59,335,Employed
92,West Bengal,2001,Professional_Profile,Farming/Agriculture Activity,Male,45-59,266,Employed
93,West Bengal,2001,Professional_Profile,Others (Please Specify),Male,45-59,496,Unemployed
94,West Bengal,2001,Professional_Profile,Professional Activity,Male,45-59,64,Employed
95,West Bengal,2001,Professional_Profile,Public Sector Undertaking,Male,45-59,137,Employed
96,West Bengal,2001,Professional_Profile,House Wife,Female,60+,72,Unemployed
97,West Bengal,2001,Professional_Profile,Others (Please Specify),Female,60+,72,Unemployed
98,West Bengal,2001,Professional_Profile,Others (Please Specify),Female,60+,193,Unemployed
99,West Bengal,2001,Professional_Profile,Professional Activity,Female,60+,10,Employed
100,West Bengal,2001,Professional_Profile,Self-employed (Business activity),Female,60+,37,Employed
101,West Bengal,2001,Professional_Profile,Student,Female,60+,0,Unemployed
102,West Bengal,2001,Professional_Profile,Service (Private),Female,60+,48,Employed
103,West Bengal,2001,Professional_Profile,Farming/Agriculture Activity,Female,60+,0,Employed
104,West Bengal,2001,Professional_Profile,Public Sector Undertaking,Female,60+,8,Employed
105,West Bengal,2001,Professional_Profile,Service (Government),Female,60+,5,Employed
106,West Bengal,2001,Professional_Profile,Unemployed,Female,60+,0,Unemployed
107,West Bengal,2001,Professional_Profile,Retired Person,Female,60+,28,Retired
108,West Bengal,2001,Professional_Profile,Retired Person,Male,60+,94,Retired
109,West Bengal,2001,Professional_Profile,Farming/Agriculture Activity,Male,60+,98,Employed
110,West Bengal,2001,Professional_Profile,Student,Male,60+,0,Unemployed
111,West Bengal,2001,Professional_Profile,Professional Activity,Male,60+,41,Employed
112,West Bengal,2001,Professional_Profile,House Wife,Male,60+,0,Unemployed
113,West Bengal,2001,Professional_Profile,Public Sector Undertaking,Male,60+,55,Employed
114,West Bengal,2001,Professional_Profile,Unemployed,Male,60+,12,Unemployed
115,West Bengal,2001,Professional_Profile,Others (Please Specify),Male,60+,153,Unemployed
116,West Bengal,2001,Professional_Profile,Self-employed (Business activity),Male,60+,33,Employed
117,West Bengal,2001,Professional_Profile,Service (Government),Male,60+,7,Employed
118,West Bengal,2001,Professional_Profile,Service (Private),Male,60+,49,Employed
119,West Bengal,2001,Professional_Profile,Others (Please Specify),Male,60+,171,Unemployed
120,West Bengal,2002,Professional_Profile,Public Sector Undertaking,Female,0-14,0,Employed
121,West Bengal,2002,Professional_Profile,Student,Female,0-14,144,Unemployed
