YEAR,CATAEGORY,TOTAL-DEATHS,PROBABILITY
2001,No Education,228114,0.4769874476987448
2001,Primary,54027,0.11297071129707113
2001,Middle,44022,0.09205020920502092
2001,Matriculate/Secondary,34017,0.07112970711297072
2001,Hr. Secondary,46023,0.09623430962343096
2001,Diploma,24012,0.0502092050209205
2001,Graduate,24012,0.0502092050209205
2001,Post-Grad or above,24012,0.0502092050209205
2002,No Education,204204,0.44541484716157204
2002,Primary,72072,0.1572052401746725
2002,Middle,54054,0.11790393013100436
2002,Matriculate/Secondary,30030,0.06550218340611354
2002,Hr. Secondary,28028,0.0611353711790393
2002,Diploma,26026,0.056768558951965066
2002,Graduate,20020,0.043668122270742356
2002,Post-Grad or above,24024,0.05240174672489083
2003,No Education,198297,0.44594594594594594
2003,Primary,66099,0.14864864864864866
2003,Middle,52078,0.11711711711711711
2003,Matriculate/Secondary,34051,0.07657657657657657
2003,Hr. Secondary,30045,0.06756756756756757
2003,Diploma,26039,0.05855855855855856
2003,Graduate,22033,0.04954954954954955
2003,Post-Grad or above,16024,0.036036036036036036
2004,No Education,196392,0.4298245614035088
2004,Primary,72144,0.15789473684210525
2004,Middle,40080,0.08771929824561403
2004,Matriculate/Secondary,30060,0.06578947368421052
2004,Hr. Secondary,36072,0.07894736842105263
2004,Diploma,32064,0.07017543859649122
2004,Graduate,28056,0.06140350877192982
2004,Post-Grad or above,22044,0.04824561403508772
2005,No Education,184460,0.42790697674418604
2005,Primary,68170,0.15813953488372093
2005,Middle,42105,0.09767441860465116
2005,Matriculate/Secondary,46115,0.10697674418604651
2005,Hr. Secondary,24060,0.05581395348837209
2005,Diploma,22055,0.05116279069767442
2005,Graduate,30075,0.06976744186046512
2005,Post-Grad or above,14035,0.03255813953488372
2006,No Education,196588,0.4375
2006,Primary,62186,0.13839285714285715
2006,Middle,42126,0.09375
2006,Matriculate/Secondary,40120,0.08928571428571429
2006,Hr. Secondary,36108,0.08035714285714286
2006,Diploma,20060,0.044642857142857144
2006,Graduate,34102,0.07589285714285714
2006,Post-Grad or above,18054,0.04017857142857143
2007,No Education,182637,0.4117647058823529
2007,Primary,68238,0.15384615384615385
2007,Middle,56196,0.12669683257918551
2007,Matriculate/Secondary,32112,0.07239819004524888
2007,Hr. Secondary,24084,0.05429864253393665
2007,Diploma,26091,0.058823529411764705
2007,Graduate,26091,0.058823529411764705
2007,Post-Grad or above,28098,0.06334841628959276
2008,No Education,182728,0.441747572815534
2008,Primary,70280,0.16990291262135923
2008,Middle,42168,0.10194174757281553
2008,Matriculate/Secondary,24096,0.05825242718446602
2008,Hr. Secondary,28112,0.06796116504854369
2008,Diploma,20080,0.04854368932038835
2008,Graduate,20080,0.04854368932038835
2008,Post-Grad or above,26104,0.06310679611650485
2009,No Education,182819,0.4595959595959596
2009,Primary,66297,0.16666666666666666
2009,Middle,50225,0.12626262626262627
2009,Matriculate/Secondary,24108,0.06060606060606061
2009,Hr. Secondary,22099,0.05555555555555555
2009,Diploma,22099,0.05555555555555555
2009,Graduate,16072,0.04040404040404041
2009,Post-Grad or above,14063,0.03535353535353535
2010,No Education,162810,0.4153846153846154
2010,Primary,54270,0.13846153846153847
2010,Middle,38190,0.09743589743589744
2010,Matriculate/Secondary,40200,0.10256410256410256
2010,Hr. Secondary,32160,0.08205128205128205
2010,Diploma,24120,0.06153846153846154
2010,Graduate,20100,0.05128205128205128
2010,Post-Grad or above,20100,0.05128205128205128
