State,Year,Type_code,Type,Gender,Age_group,Total
A & N Islands,2001,Social_Status,Married,Female,0-100+,38
A & N Islands,2001,Social_Status,Seperated,Female,0-100+,0
A & N Islands,2001,Social_Status,Widowed/Widower,Female,0-100+,0
A & N Islands,2001,Social_Status,Divorcee,Female,0-100+,0
A & N Islands,2001,Social_Status,Never Married,Female,0-100+,12
A & N Islands,2001,Social_Status,Widowed/Widower,Male,0-100+,0
A & N Islands,2001,Social_Status,Seperated,Male,0-100+,0
A & N Islands,2001,Social_Status,Married,Male,0-100+,55
A & N Islands,2001,Social_Status,Never Married,Male,0-100+,24
A & N Islands,2001,Social_Status,Divorcee,Male,0-100+,0
Andhra Pradesh,2001,Social_Status,Divorcee,Female,0-100+,43
Andhra Pradesh,2001,Social_Status,Widowed/Widower,Female,0-100+,236
Andhra Pradesh,2001,Social_Status,Seperated,Female,0-100+,138
Andhra Pradesh,2001,Social_Status,Never Married,Female,0-100+,591
Andhra Pradesh,2001,Social_Status,Married,Female,0-100+,3135
Andhra Pradesh,2001,Social_Status,Widowed/Widower,Male,0-100+,183
Andhra Pradesh,2001,Social_Status,Never Married,Male,0-100+,819
Andhra Pradesh,2001,Social_Status,Married,Male,0-100+,5135
Andhra Pradesh,2001,Social_Status,Seperated,Male,0-100+,195
Andhra Pradesh,2001,Social_Status,Divorcee,Male,0-100+,47
Arunachal Pradesh,2001,Social_Status,Married,Female,0-100+,22
Arunachal Pradesh,2001,Social_Status,Widowed/Widower,Female,0-100+,2
Arunachal Pradesh,2001,Social_Status,Never Married,Female,0-100+,10
Arunachal Pradesh,2001,Social_Status,Divorcee,Female,0-100+,0
Arunachal Pradesh,2001,Social_Status,Seperated,Female,0-100+,1
Arunachal Pradesh,2001,Social_Status,Married,Male,0-100+,64
Arunachal Pradesh,2001,Social_Status,Widowed/Widower,Male,0-100+,0
Arunachal Pradesh,2001,Social_Status,Never Married,Male,0-100+,12
Arunachal Pradesh,2001,Social_Status,Divorcee,Male,0-100+,0
Arunachal Pradesh,2001,Social_Status,Seperated,Male,0-100+,0
Assam,2001,Social_Status,Divorcee,Female,0-100+,12
Assam,2001,Social_Status,Seperated,Female,0-100+,34
Assam,2001,Social_Status,Never Married,Female,0-100+,263
Assam,2001,Social_Status,Married,Female,0-100+,475
Assam,2001,Social_Status,Widowed/Widower,Female,0-100+,27
Assam,2001,Social_Status,Seperated,Male,0-100+,113
Assam,2001,Social_Status,Married,Male,0-100+,1032
Assam,2001,Social_Status,Widowed/Widower,Male,0-100+,36
Assam,2001,Social_Status,Divorcee,Male,0-100+,21
Assam,2001,Social_Status,Never Married,Male,0-100+,634
Bihar,2001,Social_Status,Widowed/Widower,Female,0-100+,26
Bihar,2001,Social_Status,Seperated,Female,0-100+,12
Bihar,2001,Social_Status,Divorcee,Female,0-100+,4
Bihar,2001,Social_Status,Never Married,Female,0-100+,84
Bihar,2001,Social_Status,Married,Female,0-100+,170
Bihar,2001,Social_Status,Never Married,Male,0-100+,107
Bihar,2001,Social_Status,Married,Male,0-100+,162
Bihar,2001,Social_Status,Divorcee,Male,0-100+,7
Bihar,2001,Social_Status,Seperated,Male,0-100+,14
Bihar,2001,Social_Status,Widowed/Widower,Male,0-100+,17
Chandigarh,2001,Social_Status,Divorcee,Female,0-100+,0
Chandigarh,2001,Social_Status,Seperated,Female,0-100+,0
Chandigarh,2001,Social_Status,Widowed/Widower,Female,0-100+,0
Chandigarh,2001,Social_Status,Married,Female,0-100+,25
Chandigarh,2001,Social_Status,Never Married,Female,0-100+,6
Chandigarh,2001,Social_Status,Divorcee,Male,0-100+,0
Chandigarh,2001,Social_Status,Seperated,Male,0-100+,0
Chandigarh,2001,Social_Status,Married,Male,0-100+,34
Chandigarh,2001,Social_Status,Never Married,Male,0-100+,5
Chandigarh,2001,Social_Status,Widowed/Widower,Male,0-100+,0
Chhattisgarh,2001,Social_Status,Divorcee,Female,0-100+,7
Chhattisgarh,2001,Social_Status,Never Married,Female,0-100+,291
Chhattisgarh,2001,Social_Status,Seperated,Female,0-100+,8
Chhattisgarh,2001,Social_Status,Married,Female,0-100+,1014
Chhattisgarh,2001,Social_Status,Widowed/Widower,Female,0-100+,65
Chhattisgarh,2001,Social_Status,Seperated,Male,0-100+,9
Chhattisgarh,2001,Social_Status,Never Married,Male,0-100+,539
Chhattisgarh,2001,Social_Status,Divorcee,Male,0-100+,9
Chhattisgarh,2001,Social_Status,Widowed/Widower,Male,0-100+,104
Chhattisgarh,2001,Social_Status,Married,Male,0-100+,1979
D & N Haveli,2001,Social_Status,Widowed/Widower,Female,0-100+,0
D & N Haveli,2001,Social_Status,Divorcee,Female,0-100+,0
D & N Haveli,2001,Social_Status,Seperated,Female,0-100+,0
D & N Haveli,2001,Social_Status,Never Married,Female,0-100+,2
D & N Haveli,2001,Social_Status,Married,Female,0-100+,13
D & N Haveli,2001,Social_Status,Never Married,Male,0-100+,8
D & N Haveli,2001,Social_Status,Married,Male,0-100+,27
D & N Haveli,2001,Social_Status,Widowed/Widower,Male,0-100+,0
D & N Haveli,2001,Social_Status,Seperated,Male,0-100+,0
D & N Haveli,2001,Social_Status,Divorcee,Male,0-100+,0
Daman & Diu,2001,Social_Status,Never Married,Female,0-100+,1
Daman & Diu,2001,Social_Status,Widowed/Widower,Female,0-100+,0
Daman & Diu,2001,Social_Status,Married,Female,0-100+,3
Daman & Diu,2001,Social_Status,Divorcee,Female,0-100+,0
Daman & Diu,2001,Social_Status,Seperated,Female,0-100+,0
Daman & Diu,2001,Social_Status,Divorcee,Male,0-100+,0
Daman & Diu,2001,Social_Status,Widowed/Widower,Male,0-100+,0
Daman & Diu,2001,Social_Status,Married,Male,0-100+,5
Daman & Diu,2001,Social_Status,Seperated,Male,0-100+,0
Daman & Diu,2001,Social_Status,Never Married,Male,0-100+,5
Delhi (Ut),2001,Social_Status,Never Married,Female,0-100+,124
Delhi (Ut),2001,Social_Status,Widowed/Widower,Female,0-100+,9
Delhi (Ut),2001,Social_Status,Divorcee,Female,0-100+,1
Delhi (Ut),2001,Social_Status,Married,Female,0-100+,365
Delhi (Ut),2001,Social_Status,Seperated,Female,0-100+,10
Delhi (Ut),2001,Social_Status,Widowed/Widower,Male,0-100+,12
Delhi (Ut),2001,Social_Status,Seperated,Male,0-100+,18
Delhi (Ut),2001,Social_Status,Married,Male,0-100+,508
Delhi (Ut),2001,Social_Status,Never Married,Male,0-100+,192
Delhi (Ut),2001,Social_Status,Divorcee,Male,0-100+,0
Goa,2001,Social_Status,Married,Female,0-100+,55
Goa,2001,Social_Status,Never Married,Female,0-100+,29
Goa,2001,Social_Status,Seperated,Female,0-100+,0
Goa,2001,Social_Status,Divorcee,Female,0-100+,0
Goa,2001,Social_Status,Widowed/Widower,Female,0-100+,5
Goa,2001,Social_Status,Married,Male,0-100+,98
Goa,2001,Social_Status,Widowed/Widower,Male,0-100+,4
Goa,2001,Social_Status,Divorcee,Male,0-100+,0
Goa,2001,Social_Status,Never Married,Male,0-100+,60
Goa,2001,Social_Status,Seperated,Male,0-100+,5
Gujarat,2001,Social_Status,Seperated,Female,0-100+,10
Gujarat,2001,Social_Status,Widowed/Widower,Female,0-100+,109
Gujarat,2001,Social_Status,Divorcee,Female,0-100+,12
Gujarat,2001,Social_Status,Married,Female,0-100+,1562
Gujarat,2001,Social_Status,Never Married,Female,0-100+,449
Gujarat,2001,Social_Status,Never Married,Male,0-100+,581
Gujarat,2001,Social_Status,Seperated,Male,0-100+,18
Gujarat,2001,Social_Status,Divorcee,Male,0-100+,13
Gujarat,2001,Social_Status,Married,Male,0-100+,1948
Gujarat,2001,Social_Status,Widowed/Widower,Male,0-100+,89
Haryana,2001,Social_Status,Never Married,Female,0-100+,76
Haryana,2001,Social_Status,Seperated,Female,0-100+,16
Haryana,2001,Social_Status,Widowed/Widower,Female,0-100+,40
Haryana,2001,Social_Status,Divorcee,Female,0-100+,24
Haryana,2001,Social_Status,Married,Female,0-100+,487
Haryana,2001,Social_Status,Married,Male,0-100+,1008
Haryana,2001,Social_Status,Seperated,Male,0-100+,44
Haryana,2001,Social_Status,Divorcee,Male,0-100+,10
Haryana,2001,Social_Status,Widowed/Widower,Male,0-100+,74
Haryana,2001,Social_Status,Never Married,Male,0-100+,228
Himachal Pradesh,2001,Social_Status,Divorcee,Female,0-100+,3
Himachal Pradesh,2001,Social_Status,Never Married,Female,0-100+,28
Himachal Pradesh,2001,Social_Status,Seperated,Female,0-100+,3
Himachal Pradesh,2001,Social_Status,Married,Female,0-100+,94
Himachal Pradesh,2001,Social_Status,Widowed/Widower,Female,0-100+,2
Himachal Pradesh,2001,Social_Status,Never Married,Male,0-100+,42
Himachal Pradesh,2001,Social_Status,Seperated,Male,0-100+,4
Himachal Pradesh,2001,Social_Status,Divorcee,Male,0-100+,3
Himachal Pradesh,2001,Social_Status,Married,Male,0-100+,126
Himachal Pradesh,2001,Social_Status,Widowed/Widower,Male,0-100+,2
Jammu & Kashmir,2001,Social_Status,Seperated,Female,0-100+,0
Jammu & Kashmir,2001,Social_Status,Widowed/Widower,Female,0-100+,2
Jammu & Kashmir,2001,Social_Status,Married,Female,0-100+,45
Jammu & Kashmir,2001,Social_Status,Never Married,Female,0-100+,15
Jammu & Kashmir,2001,Social_Status,Divorcee,Female,0-100+,0
Jammu & Kashmir,2001,Social_Status,Never Married,Male,0-100+,11
Jammu & Kashmir,2001,Social_Status,Married,Male,0-100+,74
Jammu & Kashmir,2001,Social_Status,Seperated,Male,0-100+,0
Jammu & Kashmir,2001,Social_Status,Widowed/Widower,Male,0-100+,6
Jammu & Kashmir,2001,Social_Status,Divorcee,Male,0-100+,0
Jharkhand,2001,Social_Status,Widowed/Widower,Female,0-100+,2
Jharkhand,2001,Social_Status,Divorcee,Female,0-100+,1
Jharkhand,2001,Social_Status,Never Married,Female,0-100+,15
Jharkhand,2001,Social_Status,Married,Female,0-100+,85
Jharkhand,2001,Social_Status,Seperated,Female,0-100+,6
Jharkhand,2001,Social_Status,Seperated,Male,0-100+,12
Jharkhand,2001,Social_Status,Never Married,Male,0-100+,20
Jharkhand,2001,Social_Status,Married,Male,0-100+,107
Jharkhand,2001,Social_Status,Divorcee,Male,0-100+,1
Jharkhand,2001,Social_Status,Widowed/Widower,Male,0-100+,1
Karnataka,2001,Social_Status,Seperated,Female,0-100+,110
Karnataka,2001,Social_Status,Married,Female,0-100+,2607
Karnataka,2001,Social_Status,Divorcee,Female,0-100+,35
Karnataka,2001,Social_Status,Widowed/Widower,Female,0-100+,364
Karnataka,2001,Social_Status,Never Married,Female,0-100+,894
Karnataka,2001,Social_Status,Widowed/Widower,Male,0-100+,261
Karnataka,2001,Social_Status,Divorcee,Male,0-100+,32
Karnataka,2001,Social_Status,Never Married,Male,0-100+,1686
Karnataka,2001,Social_Status,Seperated,Male,0-100+,311
Karnataka,2001,Social_Status,Married,Male,0-100+,5581
Kerala,2001,Social_Status,Divorcee,Female,0-100+,66
Kerala,2001,Social_Status,Widowed/Widower,Female,0-100+,148
Kerala,2001,Social_Status,Seperated,Female,0-100+,55
Kerala,2001,Social_Status,Married,Female,0-100+,1915
Kerala,2001,Social_Status,Never Married,Female,0-100+,601
Kerala,2001,Social_Status,Never Married,Male,0-100+,1187
Kerala,2001,Social_Status,Seperated,Male,0-100+,130
Kerala,2001,Social_Status,Married,Male,0-100+,5306
Kerala,2001,Social_Status,Divorcee,Male,0-100+,45
Kerala,2001,Social_Status,Widowed/Widower,Male,0-100+,119
Lakshadweep,2001,Social_Status,Married,Female,0-100+,0
Lakshadweep,2001,Social_Status,Never Married,Female,0-100+,0
Lakshadweep,2001,Social_Status,Seperated,Female,0-100+,0
Lakshadweep,2001,Social_Status,Divorcee,Female,0-100+,0
Lakshadweep,2001,Social_Status,Widowed/Widower,Female,0-100+,0
Lakshadweep,2001,Social_Status,Never Married,Male,0-100+,0
Lakshadweep,2001,Social_Status,Seperated,Male,0-100+,0
