State,Year,Type_code,Type,Gender,Age_group,Total
West Bengal,2001,Causes,Poverty,Female,0-14,0
West Bengal,2001,Causes,Failure in Examination,Female,0-14,34
West Bengal,2001,Causes,Paralysis,Female,0-14,0
West Bengal,2001,Causes,Drug Abuse/Addiction,Female,0-14,0
West Bengal,2001,Causes,Professional/Career Problem,Female,0-14,0
West Bengal,2001,Causes,Property Dispute,Female,0-14,0
West Bengal,2001,Causes,Causes Not known,Female,0-14,120
West Bengal,2001,Causes,Illness (Aids/STD),Female,0-14,0
West Bengal,2001,Causes,Other Causes (Please Specity),Female,0-14,73
West Bengal,2001,Causes,Fall in Social Reputation,Female,0-14,0
West Bengal,2001,Causes,Not having Children(Barrenness/Impotency,Female,0-14,0
West Bengal,2001,Causes,Unemployment,Female,0-14,0
West Bengal,2001,Causes,Cancer,Female,0-14,0
West Bengal,2001,Causes,Love Affairs,Female,0-14,41
West Bengal,2001,Causes,Dowry Dispute,Female,0-14,0
West Bengal,2001,Causes,Ideological Causes/Hero Worshipping,Female,0-14,0
West Bengal,2001,Causes,Other Prolonged Illness,Female,0-14,2
West Bengal,2001,Causes,Illegitimate Pregnancy,Female,0-14,1
West Bengal,2001,Causes,Insanity/Mental Illness,Female,0-14,2
West Bengal,2001,Causes,Suspected/Illicit Relation,Female,0-14,2
West Bengal,2001,Causes,Death of Dear Person,Female,0-14,4
West Bengal,2001,Causes,Divorce,Female,0-14,0
West Bengal,2001,Causes,Cancellation/Non-Settlement of Marriage,Female,0-14,0
West Bengal,2001,Causes,Family Problems,Female,0-14,3
West Bengal,2001,Causes,Fall in Social Reputation,Male,0-14,0
West Bengal,2001,Causes,Physical Abuse (Rape/Incest Etc.),Male,0-14,0
West Bengal,2001,Causes,Unemployment,Male,0-14,3
West Bengal,2001,Causes,Other Causes (Please Specity),Male,0-14,60
West Bengal,2001,Causes,Other Prolonged Illness,Male,0-14,3
West Bengal,2001,Causes,Failure in Examination,Male,0-14,77
West Bengal,2001,Causes,Poverty,Male,0-14,0
West Bengal,2001,Causes,Property Dispute,Male,0-14,0
West Bengal,2001,Causes,Illness (Aids/STD),Male,0-14,0
West Bengal,2001,Causes,Dowry Dispute,Male,0-14,0
West Bengal,2001,Causes,Ideological Causes/Hero Worshipping,Male,0-14,0
West Bengal,2001,Causes,Cancellation/Non-Settlement of Marriage,Male,0-14,0
West Bengal,2001,Causes,Professional/Career Problem,Male,0-14,0
West Bengal,2001,Causes,Love Affairs,Male,0-14,5
West Bengal,2001,Causes,Death of Dear Person,Male,0-14,1
West Bengal,2001,Causes,Divorce,Male,0-14,0
West Bengal,2001,Causes,Drug Abuse/Addiction,Male,0-14,10
West Bengal,2001,Causes,Paralysis,Male,0-14,0
West Bengal,2001,Causes,Bankruptcy or Sudden change in Economic,Male,0-14,0
West Bengal,2001,Causes,Cancer,Male,0-14,0
West Bengal,2001,Causes,Illegitimate Pregnancy,Male,0-14,0
West Bengal,2001,Causes,Not having Children(Barrenness/Impotency,Male,0-14,0
West Bengal,2001,Causes,Suspected/Illicit Relation,Male,0-14,0
West Bengal,2001,Causes,Family Problems,Male,0-14,5
West Bengal,2001,Causes,Causes Not known,Male,0-14,111
West Bengal,2001,Causes,Insanity/Mental Illness,Male,0-14,8
West Bengal,2001,Causes,Bankruptcy or Sudden change in Economic,Female,15-29,13
West Bengal,2001,Causes,Insanity/Mental Illness,Female,15-29,31
West Bengal,2001,Causes,Physical Abuse (Rape/Incest Etc.),Female,15-29,13
West Bengal,2001,Causes,Poverty,Female,15-29,13
West Bengal,2001,Causes,Dowry Dispute,Female,15-29,142
West Bengal,2001,Causes,Causes Not known,Female,15-29,600
West Bengal,2001,Causes,Drug Abuse/Addiction,Female,15-29,6
West Bengal,2001,Causes,Illness (Aids/STD),Female,15-29,42
West Bengal,2001,Causes,Cancellation/Non-Settlement of Marriage,Female,15-29,106
West Bengal,2001,Causes,Cancer,Female,15-29,1
West Bengal,2001,Causes,Divorce,Female,15-29,6
West Bengal,2001,Causes,Family Problems,Female,15-29,324
West Bengal,2001,Causes,Failure in Examination,Female,15-29,175
West Bengal,2001,Causes,Unemployment,Female,15-29,17
West Bengal,2001,Causes,Property Dispute,Female,15-29,8
West Bengal,2001,Causes,Suspected/Illicit Relation,Female,15-29,77
West Bengal,2001,Causes,Paralysis,Female,15-29,8
West Bengal,2001,Causes,Death of Dear Person,Female,15-29,17
West Bengal,2001,Causes,Professional/Career Problem,Female,15-29,3
West Bengal,2001,Causes,Illegitimate Pregnancy,Female,15-29,45
West Bengal,2001,Causes,Love Affairs,Female,15-29,163
West Bengal,2001,Causes,Other Causes (Please Specity),Female,15-29,380
West Bengal,2001,Causes,Ideological Causes/Hero Worshipping,Female,15-29,0
West Bengal,2001,Causes,Not having Children(Barrenness/Impotency,Female,15-29,26
West Bengal,2001,Causes,Fall in Social Reputation,Female,15-29,1
West Bengal,2001,Causes,Other Prolonged Illness,Female,15-29,37
West Bengal,2001,Causes,Divorce,Male,15-29,1
West Bengal,2001,Causes,Family Problems,Male,15-29,281
West Bengal,2001,Causes,Love Affairs,Male,15-29,179
West Bengal,2001,Causes,Paralysis,Male,15-29,0
West Bengal,2001,Causes,Bankruptcy or Sudden change in Economic,Male,15-29,26
West Bengal,2001,Causes,Suspected/Illicit Relation,Male,15-29,40
West Bengal,2001,Causes,Insanity/Mental Illness,Male,15-29,58
West Bengal,2001,Causes,Cancer,Male,15-29,5
West Bengal,2001,Causes,Causes Not known,Male,15-29,494
West Bengal,2001,Causes,Poverty,Male,15-29,3
West Bengal,2001,Causes,Death of Dear Person,Male,15-29,23
West Bengal,2001,Causes,Not having Children(Barrenness/Impotency,Male,15-29,0
West Bengal,2001,Causes,Ideological Causes/Hero Worshipping,Male,15-29,7
West Bengal,2001,Causes,Fall in Social Reputation,Male,15-29,8
West Bengal,2001,Causes,Professional/Career Problem,Male,15-29,9
West Bengal,2001,Causes,Drug Abuse/Addiction,Male,15-29,34
West Bengal,2001,Causes,Failure in Examination,Male,15-29,201
West Bengal,2001,Causes,Other Prolonged Illness,Male,15-29,112
West Bengal,2001,Causes,Illness (Aids/STD),Male,15-29,52
West Bengal,2001,Causes,Physical Abuse (Rape/Incest Etc.),Male,15-29,0
West Bengal,2001,Causes,Unemployment,Male,15-29,66
West Bengal,2001,Causes,Cancellation/Non-Settlement of Marriage,Male,15-29,72
West Bengal,2001,Causes,Other Causes (Please Specity),Male,15-29,323
West Bengal,2001,Causes,Property Dispute,Male,15-29,33
West Bengal,2001,Causes,Dowry Dispute,Male,15-29,0
West Bengal,2001,Causes,Illegitimate Pregnancy,Male,15-29,0
West Bengal,2001,Causes,Ideological Causes/Hero Worshipping,Female,30-44,0
West Bengal,2001,Causes,Other Causes (Please Specity),Female,30-44,364
West Bengal,2001,Causes,Drug Abuse/Addiction,Female,30-44,6
West Bengal,2001,Causes,Illegitimate Pregnancy,Female,30-44,29
West Bengal,2001,Causes,Love Affairs,Female,30-44,46
West Bengal,2001,Causes,Divorce,Female,30-44,11
West Bengal,2001,Causes,Property Dispute,Female,30-44,23
West Bengal,2001,Causes,Death of Dear Person,Female,30-44,12
West Bengal,2001,Causes,Fall in Social Reputation,Female,30-44,6
West Bengal,2001,Causes,Physical Abuse (Rape/Incest Etc.),Female,30-44,5
West Bengal,2001,Causes,Cancer,Female,30-44,22
West Bengal,2001,Causes,Not having Children(Barrenness/Impotency,Female,30-44,48
West Bengal,2001,Causes,Unemployment,Female,30-44,28
West Bengal,2001,Causes,Causes Not known,Female,30-44,567
West Bengal,2001,Causes,Suspected/Illicit Relation,Female,30-44,80
West Bengal,2001,Causes,Cancellation/Non-Settlement of Marriage,Female,30-44,56
West Bengal,2001,Causes,Dowry Dispute,Female,30-44,121
West Bengal,2001,Causes,Paralysis,Female,30-44,15
West Bengal,2001,Causes,Failure in Examination,Female,30-44,0
West Bengal,2001,Causes,Other Prolonged Illness,Female,30-44,82
West Bengal,2001,Causes,Bankruptcy or Sudden change in Economic,Female,30-44,29
West Bengal,2001,Causes,Family Problems,Female,30-44,369
West Bengal,2001,Causes,Illness (Aids/STD),Female,30-44,49
West Bengal,2001,Causes,Insanity/Mental Illness,Female,30-44,40
West Bengal,2001,Causes,Poverty,Female,30-44,5
West Bengal,2001,Causes,Professional/Career Problem,Female,30-44,2
West Bengal,2001,Causes,Insanity/Mental Illness,Male,30-44,82
West Bengal,2001,Causes,Failure in Examination,Male,30-44,6
West Bengal,2001,Causes,Cancellation/Non-Settlement of Marriage,Male,30-44,51
West Bengal,2001,Causes,Death of Dear Person,Male,30-44,17
West Bengal,2001,Causes,Ideological Causes/Hero Worshipping,Male,30-44,1
West Bengal,2001,Causes,Not having Children(Barrenness/Impotency,Male,30-44,1
West Bengal,2001,Causes,Dowry Dispute,Male,30-44,0
West Bengal,2001,Causes,Divorce,Male,30-44,0
West Bengal,2001,Causes,Other Prolonged Illness,Male,30-44,97
West Bengal,2001,Causes,Fall in Social Reputation,Male,30-44,31
West Bengal,2001,Causes,Causes Not known,Male,30-44,792
West Bengal,2001,Causes,Poverty,Male,30-44,0
West Bengal,2001,Causes,Unemployment,Male,30-44,73
West Bengal,2001,Causes,Family Problems,Male,30-44,452
West Bengal,2001,Causes,Paralysis,Male,30-44,3
West Bengal,2001,Causes,Professional/Career Problem,Male,30-44,27
West Bengal,2001,Causes,Property Dispute,Male,30-44,121
West Bengal,2001,Causes,Illness (Aids/STD),Male,30-44,38
West Bengal,2001,Causes,Illegitimate Pregnancy,Male,30-44,0
West Bengal,2001,Causes,Suspected/Illicit Relation,Male,30-44,75
West Bengal,2001,Causes,Bankruptcy or Sudden change in Economic,Male,30-44,27
West Bengal,2001,Causes,Other Causes (Please Specity),Male,30-44,368
West Bengal,2001,Causes,Cancer,Male,30-44,46
West Bengal,2001,Causes,Love Affairs,Male,30-44,50
West Bengal,2001,Causes,Physical Abuse (Rape/Incest Etc.),Male,30-44,0
West Bengal,2001,Causes,Drug Abuse/Addiction,Male,30-44,68
West Bengal,2001,Causes,Divorce,Female,45-59,8
West Bengal,2001,Causes,Suspected/Illicit Relation,Female,45-59,2
West Bengal,2001,Causes,Causes Not known,Female,45-59,296
West Bengal,2001,Causes,Failure in Examination,Female,45-59,0
West Bengal,2001,Causes,Fall in Social Reputation,Female,45-59,7
West Bengal,2001,Causes,Illness (Aids/STD),Female,45-59,14
West Bengal,2001,Causes,Insanity/Mental Illness,Female,45-59,56
West Bengal,2001,Causes,Bankruptcy or Sudden change in Economic,Female,45-59,3
West Bengal,2001,Causes,Paralysis,Female,45-59,49
West Bengal,2001,Causes,Physical Abuse (Rape/Incest Etc.),Female,45-59,0
West Bengal,2001,Causes,Cancer,Female,45-59,39
West Bengal,2001,Causes,Death of Dear Person,Female,45-59,16
West Bengal,2001,Causes,Ideological Causes/Hero Worshipping,Female,45-59,0
West Bengal,2001,Causes,Not having Children(Barrenness/Impotency,Female,45-59,44
West Bengal,2001,Causes,Drug Abuse/Addiction,Female,45-59,3
West Bengal,2001,Causes,Professional/Career Problem,Female,45-59,1
West Bengal,2001,Causes,Cancellation/Non-Settlement of Marriage,Female,45-59,0
West Bengal,2001,Causes,Family Problems,Female,45-59,228
West Bengal,2001,Causes,Dowry Dispute,Female,45-59,2
West Bengal,2001,Causes,Illegitimate Pregnancy,Female,45-59,3
West Bengal,2001,Causes,Poverty,Female,45-59,2
West Bengal,2001,Causes,Unemployment,Female,45-59,5
West Bengal,2001,Causes,Other Causes (Please Specity),Female,45-59,253
West Bengal,2001,Causes,Other Prolonged Illness,Female,45-59,121
West Bengal,2001,Causes,Property Dispute,Female,45-59,18
West Bengal,2001,Causes,Love Affairs,Female,45-59,0
West Bengal,2001,Causes,Other Prolonged Illness,Male,45-59,157
West Bengal,2001,Causes,Not having Children(Barrenness/Impotency,Male,45-59,3
West Bengal,2001,Causes,Property Dispute,Male,45-59,148
West Bengal,2001,Causes,Fall in Social Reputation,Male,45-59,29
West Bengal,2001,Causes,Cancer,Male,45-59,59
West Bengal,2001,Causes,Illegitimate Pregnancy,Male,45-59,0
West Bengal,2001,Causes,Professional/Career Problem,Male,45-59,4
West Bengal,2001,Causes,Causes Not known,Male,45-59,480
West Bengal,2001,Causes,Physical Abuse (Rape/Incest Etc.),Male,45-59,0
West Bengal,2001,Causes,Cancellation/Non-Settlement of Marriage,Male,45-59,5
West Bengal,2001,Causes,Paralysis,Male,45-59,40
West Bengal,2001,Causes,Poverty,Male,45-59,7
West Bengal,2001,Causes,Failure in Examination,Male,45-59,0
West Bengal,2001,Causes,Suspected/Illicit Relation,Male,45-59,44
West Bengal,2001,Causes,Death of Dear Person,Male,45-59,23
West Bengal,2001,Causes,Illness (Aids/STD),Male,45-59,73
West Bengal,2001,Causes,Bankruptcy or Sudden change in Economic,Male,45-59,20
West Bengal,2001,Causes,Divorce,Male,45-59,0
West Bengal,2001,Causes,Insanity/Mental Illness,Male,45-59,111
West Bengal,2001,Causes,Ideological Causes/Hero Worshipping,Male,45-59,5
West Bengal,2001,Causes,Family Problems,Male,45-59,334
West Bengal,2001,Causes,Dowry Dispute,Male,45-59,0
West Bengal,2001,Causes,Love Affairs,Male,45-59,0
West Bengal,2001,Causes,Other Causes (Please Specity),Male,45-59,438
West Bengal,2001,Causes,Unemployment,Male,45-59,25
West Bengal,2001,Causes,Drug Abuse/Addiction,Male,45-59,41
West Bengal,2001,Causes,Failure in Examination,Female,60+,0
West Bengal,2001,Causes,Love Affairs,Female,60+,0
West Bengal,2001,Causes,Other Prolonged Illness,Female,60+,39
West Bengal,2001,Causes,Unemployment,Female,60+,0
West Bengal,2001,Causes,Poverty,Female,60+,0
West Bengal,2001,Causes,Cancellation/Non-Settlement of Marriage,Female,60+,0
West Bengal,2001,Causes,Fall in Social Reputation,Female,60+,10
West Bengal,2001,Causes,Physical Abuse (Rape/Incest Etc.),Female,60+,0
