State,Year,Type_code,Type,Gender,Age_group,Total
A & N Islands,2001,Professional_Profile,Retired Person,Female,0-14,0
A & N Islands,2001,Professional_Profile,Unemployed,Female,0-14,0
A & N Islands,2001,Professional_Profile,Public Sector Undertaking,Female,0-14,0
A & N Islands,2001,Professional_Profile,Service (Private),Female,0-14,0
A & N Islands,2001,Professional_Profile,House Wife,Female,0-14,0
A & N Islands,2001,Professional_Profile,Self-employed (Business activity),Female,0-14,0
A & N Islands,2001,Professional_Profile,Professional Activity,Female,0-14,0
A & N Islands,2001,Professional_Profile,Student,Female,0-14,2
A & N Islands,2001,Professional_Profile,Others (Please Specify),Female,0-14,0
A & N Islands,2001,Professional_Profile,Farming/Agriculture Activity,Female,0-14,0
A & N Islands,2001,Professional_Profile,Service (Government),Female,0-14,0
A & N Islands,2001,Professional_Profile,Others (Please Specify),Male,0-14,0
A & N Islands,2001,Professional_Profile,Student,Male,0-14,1
A & N Islands,2001,Professional_Profile,Farming/Agriculture Activity,Male,0-14,0
A & N Islands,2001,Professional_Profile,Service (Government),Male,0-14,0
A & N Islands,2001,Professional_Profile,Public Sector Undertaking,Male,0-14,0
A & N Islands,2001,Professional_Profile,Professional Activity,Male,0-14,0
A & N Islands,2001,Professional_Profile,Retired Person,Male,0-14,0
A & N Islands,2001,Professional_Profile,Service (Private),Male,0-14,0
A & N Islands,2001,Professional_Profile,Self-employed (Business activity),Male,0-14,0
A & N Islands,2001,Professional_Profile,Others (Please Specify),Male,0-14,1
A & N Islands,2001,Professional_Profile,House Wife,Male,0-14,0
A & N Islands,2001,Professional_Profile,Unemployed,Male,0-14,0
A & N Islands,2001,Professional_Profile,Self-employed (Business activity),Female,15-29,0
A & N Islands,2001,Professional_Profile,Public Sector Undertaking,Female,15-29,0
A & N Islands,2001,Professional_Profile,House Wife,Female,15-29,21
A & N Islands,2001,Professional_Profile,Professional Activity,Female,15-29,0
A & N Islands,2001,Professional_Profile,Retired Person,Female,15-29,0
A & N Islands,2001,Professional_Profile,Unemployed,Female,15-29,0
A & N Islands,2001,Professional_Profile,Others (Please Specify),Female,15-29,0
